artistName,endTime,source,trackName,valence,duration_ms
Thundercat,2019-02-06 03:52,0,Where the Giants Roam / Field of the Nephilim,0.1,166990.0
Saba,2019-02-07 03:57,0,Westside Bound 3,0.588,177246.0
21 Savage,2019-02-07 06:34,0,a lot,0.274,288624.0
Limbo,2019-02-07 06:34,0,Airplane Mode,0.07,164113.0
McCafferty,2019-02-07 06:40,0,Beachboy,0.75,199341.0
Limbo,2019-02-07 06:43,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-07 06:48,0,a lot,0.274,288624.0
Amanda Miguel,2019-02-07 06:50,0,El Me Mintio,0.478,219585.0
Bad Meets Evil,2019-02-07 06:55,0,Echo,0.399,295067.0
Rae Sremmurd,2019-02-07 06:58,0,No Type,0.239,200080.0
Big Pun,2019-02-07 07:02,0,Still Not a Player (feat. Joe) - Radio Version,0.864,236800.0
Big Sean,2019-02-07 07:06,0,Who's Stopping Me (& Metro Boomin),0.763,213600.0
Lloyd,2019-02-07 07:09,0,Get It Shawty - Main,0.674,209533.0
DJ Shadow,2019-02-07 07:12,0,Nobody Speak,0.304,195966.0
atlas,2019-02-07 07:14,0,valentine,0.881,123418.0
Marian Hill,2019-02-07 07:18,0,Got It,0.509,191947.0
Bill Withers,2019-02-07 07:20,0,Ain't No Sunshine,0.443,186629.0
Lil Yachty,2019-02-07 07:22,0,One Night,0.34,243270.0
flora cash,2019-02-07 07:26,0,You're Somebody Else,,
Marian Hill,2019-02-07 07:29,0,Down,0.0661,197773.0
Jai Wolf,2019-02-07 07:33,0,Lose My Mind (feat. Mr Gabriel),0.508,258547.0
Vicente Fernández,2019-02-07 07:36,0,No Me Se Rajar,0.896,144973.0
Mac Miller,2019-02-07 07:36,0,Come Back to Earth,0.119,161840.0
Marian Hill,2019-02-07 07:38,0,One Time,0.519,217613.0
Fito Olivares y Su Grupo,2019-02-07 07:41,0,Juana La Cubana,0.826,190800.0
Fabolous,2019-02-07 07:42,0,Into You (feat. Tamia),0.58,295773.0
Fabolous,2019-02-07 19:14,0,Into You (feat. Tamia),0.58,295773.0
McCafferty,2019-02-07 19:37,0,Beachboy,0.75,199341.0
Limbo,2019-02-07 19:39,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-07 19:44,0,a lot,0.274,288624.0
Yung Bae,2019-02-07 19:46,0,Holding Your Hand,0.53,133146.0
Mijares,2019-02-07 19:46,0,Si Me Tenías,0.27,239996.0
Rag'n'Bone Man,2019-02-07 20:58,0,Human,,
McCafferty,2019-02-07 21:01,0,Beachboy,0.75,199341.0
Limbo,2019-02-07 21:47,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-08 01:00,0,a lot,0.274,288624.0
Limbo,2019-02-08 01:00,0,Airplane Mode,0.07,164113.0
